,Class,Largest Spot Size,Spot Distribution,Activity,Evolution,24 hour flare activity,Historically-complex,Did region become historically complex on this pass across the sun's disk,Area,Area of the largest spot,Had flare
52,D,A,O,1,3,1,2,2,1,2,0
53,D,K,C,2,3,1,2,2,1,2,1
54,D,A,I,1,3,1,2,2,1,2,0
55,B,X,O,1,3,1,1,2,1,1,0
56,D,A,O,1,3,1,2,2,1,2,0
57,D,S,I,1,3,1,1,2,1,1,0
58,D,K,C,1,2,1,1,2,1,2,0
59,D,A,I,1,2,1,1,2,1,2,0
60,B,X,O,1,3,1,1,2,1,1,0
61,D,S,O,1,2,1,2,2,1,2,0
62,D,K,C,2,3,3,2,2,1,2,1
63,E,K,I,2,3,1,2,2,1,2,0
64,D,S,I,1,3,1,2,2,1,2,1
65,C,S,O,1,2,1,2,2,1,2,0
66,D,S,I,1,3,1,2,2,1,2,0
67,H,H,X,1,2,1,2,2,1,1,1
68,D,S,I,1,3,1,2,2,1,2,0
69,B,X,O,1,3,1,1,2,1,1,0
70,B,X,O,1,3,1,1,2,1,1,0
71,C,R,O,1,3,1,1,2,1,1,0
72,H,S,X,1,2,1,1,1,1,2,0
73,D,A,O,1,2,1,2,2,1,2,0
74,D,K,C,2,2,3,2,2,1,2,0
75,D,K,I,1,3,1,2,2,1,2,1
76,D,S,I,1,2,1,2,2,1,1,1
77,C,A,O,1,2,1,2,2,1,2,0
78,D,S,O,1,1,1,2,2,1,2,0
79,H,S,X,1,3,1,2,2,1,2,0
80,D,K,I,1,3,1,2,2,1,2,0
81,H,R,X,1,2,1,1,2,1,2,0
82,B,X,O,1,2,1,1,2,1,1,0
83,H,S,X,1,3,1,1,1,1,2,0
84,C,S,O,1,1,1,2,2,1,2,0
85,D,K,C,2,2,3,2,2,1,2,0
86,D,A,I,1,2,1,2,2,1,2,0
87,C,S,O,2,2,1,2,2,1,1,0
88,C,S,O,1,2,1,2,2,1,2,0
89,C,S,O,1,2,1,2,2,1,2,0
90,C,S,O,2,3,1,2,2,1,2,0
91,D,K,I,1,3,1,2,2,1,2,1
92,H,R,X,1,2,1,1,2,1,2,0
93,H,S,X,1,3,1,1,1,1,2,0
94,C,S,O,1,2,1,1,2,1,2,1
95,C,K,O,1,2,3,2,2,1,2,0
96,C,S,O,1,1,3,2,2,1,2,0
97,C,S,O,1,1,1,2,2,1,2,0
98,C,K,I,1,3,1,2,2,1,2,0
99,E,A,C,1,3,1,2,2,1,2,0
100,H,R,X,1,2,1,1,2,1,2,0
101,H,S,X,1,2,1,1,1,1,2,0
102,H,R,X,1,2,1,1,2,1,2,0
103,H,S,X,2,2,1,1,2,1,2,0
104,B,X,O,1,3,1,1,2,1,2,0
105,C,S,I,1,2,1,2,2,1,2,0
106,H,S,X,1,1,1,2,2,1,2,1
107,D,K,C,1,3,3,2,2,1,2,1
108,D,A,I,2,2,3,2,2,1,2,0
109,H,S,X,1,2,1,1,2,1,2,0
110,B,X,O,1,2,1,1,2,1,1,0
111,C,S,I,2,3,3,1,2,1,1,1
112,C,S,O,1,1,1,1,2,1,2,1
113,H,K,X,2,2,3,2,2,1,2,0
114,D,K,I,1,3,1,2,2,1,2,0
115,H,A,X,1,3,1,1,2,1,2,0
116,C,R,O,1,1,1,1,2,1,2,0
117,C,R,O,1,3,1,1,2,1,2,0
118,B,X,O,1,3,1,1,2,1,1,0
119,B,X,O,1,3,1,1,2,1,1,1
120,H,K,X,1,3,1,2,2,1,2,0
121,C,K,I,1,3,1,2,2,1,2,0
122,H,S,X,1,2,1,1,2,1,2,0
123,B,X,O,1,3,1,1,2,1,1,0
124,C,R,I,2,3,3,1,2,1,2,0
125,H,R,X,1,2,3,1,2,1,2,0
126,B,X,O,1,3,1,1,2,1,1,0
127,D,R,O,1,3,1,1,2,1,2,0
128,H,K,X,1,2,1,2,2,1,2,0
129,D,K,I,1,2,1,2,2,1,2,0
130,H,H,X,1,3,1,1,2,1,2,0
131,B,X,I,1,3,1,1,2,1,1,0
132,B,X,O,1,3,1,1,2,1,1,0
133,B,X,I,1,3,1,1,2,1,1,0
134,D,R,O,2,2,1,1,2,1,2,1
135,H,A,X,1,3,1,2,2,1,2,0
136,C,K,O,1,2,1,2,2,1,2,0
137,H,S,X,1,2,1,1,2,1,2,0
138,B,X,O,1,2,1,1,2,1,1,0
139,B,X,O,1,2,1,1,2,1,1,1
140,C,R,O,1,3,1,1,2,1,1,0
141,B,X,I,1,3,1,1,2,1,1,0
142,C,A,O,1,3,1,2,2,1,2,0
143,C,K,I,1,2,1,2,2,1,2,0
144,H,S,X,1,2,1,1,2,1,2,0
145,D,S,I,1,3,1,1,2,1,1,0
146,B,X,O,1,2,1,1,2,1,1,0
147,B,X,O,2,2,1,1,2,1,1,0
148,H,S,X,1,2,1,1,1,1,2,0
149,H,A,X,1,3,1,1,2,1,2,0
150,C,K,I,1,3,1,2,2,1,2,1
151,B,X,O,1,3,1,1,2,1,2,0
152,H,S,X,1,3,1,1,1,1,2,0
153,C,S,O,1,3,1,1,2,1,2,1
154,C,A,I,1,3,1,1,2,1,2,0
155,H,S,X,1,3,1,1,1,1,2,0
156,D,S,O,1,3,1,1,2,1,2,1
157,C,S,O,1,2,3,2,2,1,2,0
158,B,X,O,1,2,1,1,2,1,1,0
159,H,S,X,1,2,1,1,1,1,2,0
160,C,S,O,1,3,1,1,2,1,2,0
161,C,S,O,1,3,1,1,2,1,2,0
162,H,A,X,1,3,1,1,1,1,2,1
163,B,X,O,2,1,1,1,2,1,1,1
164,H,R,X,1,2,1,1,1,1,2,0
165,C,S,O,2,2,1,2,2,1,2,1
166,H,S,X,1,3,1,1,1,1,2,0
167,H,S,X,2,2,3,1,2,1,2,0
168,C,S,O,1,2,1,1,2,1,2,0
169,C,A,I,1,3,1,1,2,1,2,0
170,E,S,I,1,3,1,1,2,1,2,1
171,B,X,O,1,2,1,1,2,1,1,0
172,D,S,O,1,2,1,1,2,1,2,1
173,C,S,O,1,1,1,2,2,1,2,0
174,C,S,O,1,2,1,1,2,1,2,0
175,H,S,X,1,1,1,1,2,1,2,0
176,C,S,O,1,2,1,1,2,1,2,0
177,C,S,I,2,2,1,1,2,1,2,0
178,D,S,O,1,2,1,2,2,1,2,1
179,D,S,O,1,3,1,1,2,1,2,1
180,B,X,O,1,3,1,1,2,1,2,0
181,C,A,O,1,3,1,1,2,1,2,0
182,C,S,O,1,3,1,1,2,1,2,0
183,C,R,I,1,3,1,1,2,1,2,0
184,B,X,O,1,2,3,2,2,1,2,0
185,B,X,I,2,3,1,1,2,1,2,1
186,D,H,O,1,2,1,1,2,1,2,0
187,H,S,X,1,1,1,1,2,1,2,0
188,H,R,X,1,2,1,1,2,1,2,0
189,H,A,X,1,2,1,1,2,1,2,0
190,C,R,I,1,2,1,1,2,1,2,0
191,C,R,O,2,1,1,1,2,1,2,0
192,D,K,O,1,3,1,1,2,1,2,1
193,D,R,O,1,2,1,1,2,1,2,0
194,H,S,X,1,2,1,1,2,1,2,0
195,B,X,O,1,2,1,1,2,1,1,0
196,B,X,I,1,3,1,1,2,1,2,0
197,B,X,O,1,3,1,1,2,1,1,0
198,C,S,O,1,3,1,1,2,1,2,1
199,D,A,I,1,3,1,1,2,1,2,0
200,B,X,O,1,3,1,1,2,1,2,1
201,B,X,O,1,2,1,1,2,1,2,0
202,B,X,I,1,3,1,1,2,1,1,0
203,B,X,I,1,3,1,1,2,1,1,0
204,D,A,I,1,3,1,1,2,1,2,0
205,C,H,I,2,3,1,1,2,1,2,0
206,D,K,O,1,3,1,2,2,1,2,1
207,B,X,O,1,3,1,1,2,1,2,1
208,C,K,I,1,3,1,1,2,1,1,0
209,C,A,O,1,2,1,1,2,1,2,0
210,D,A,I,1,2,1,1,2,1,2,0
211,B,X,O,1,3,1,1,2,1,2,0
212,B,X,I,1,3,1,1,2,1,2,0
213,B,X,O,1,3,1,1,2,1,2,1
214,B,X,I,1,2,1,2,2,1,2,0
215,B,X,I,1,3,1,1,2,1,1,0
216,C,A,I,1,3,1,2,2,1,2,0
217,C,H,I,2,2,3,1,2,1,2,1
218,F,K,I,1,2,1,2,2,1,2,1
219,C,R,O,1,2,3,1,2,1,2,0
220,E,A,O,1,2,1,1,2,1,2,0
221,C,S,O,1,1,1,1,2,1,2,0
222,D,A,I,1,3,1,2,2,1,2,0
223,B,X,O,2,3,1,1,2,1,2,1
224,C,R,O,1,3,1,1,2,1,2,0
225,D,S,I,1,2,1,2,2,1,2,0
226,H,A,X,1,3,1,1,1,1,2,0
227,B,X,O,1,2,1,1,2,1,1,0
228,C,A,O,1,3,1,2,2,1,2,0
229,D,H,I,1,3,1,1,2,1,2,0
230,F,A,I,2,3,1,2,2,1,2,0
231,E,K,O,1,3,1,1,2,1,2,1
232,H,S,X,1,3,1,1,2,1,2,0
233,D,K,C,1,3,1,2,2,1,2,0
234,B,X,O,1,3,1,1,2,1,1,0
235,B,X,O,2,2,3,1,2,1,1,0
236,D,A,I,1,3,1,1,2,1,2,0
237,C,A,I,1,3,1,2,2,1,2,0
238,H,R,X,1,2,1,1,1,1,2,0
239,C,R,O,1,1,1,2,2,1,1,0
240,D,H,I,2,3,3,2,2,1,2,0
241,E,K,I,2,2,3,2,2,1,2,1
242,E,K,I,1,3,1,1,2,1,2,0
243,C,S,O,1,2,1,1,2,1,2,0
244,D,K,C,1,3,1,2,2,1,2,1
245,B,X,O,1,3,1,1,2,1,1,0
246,B,X,O,2,2,3,1,2,1,1,0
247,D,S,O,1,3,1,2,2,1,2,0
248,H,R,X,1,3,1,1,2,1,2,0
249,H,A,X,1,3,1,2,2,1,2,0
250,H,R,X,1,2,1,1,1,1,2,0
251,H,S,X,1,3,1,1,2,1,2,0
252,C,R,I,1,3,1,1,2,1,2,0
253,C,H,I,1,2,1,2,2,1,2,1
254,F,A,I,1,3,1,2,2,1,2,1
255,E,K,I,2,3,1,2,2,1,2,0
256,H,S,X,1,2,1,1,2,1,2,0
257,D,K,C,1,3,1,2,2,1,2,1
258,D,S,I,1,3,1,2,2,1,2,0
259,H,A,X,1,3,1,2,2,1,2,1
260,H,R,X,1,2,1,1,1,1,1,0
261,H,S,X,1,2,1,1,2,1,2,0
262,B,X,O,1,3,1,1,2,1,2,0
263,C,H,O,1,2,1,2,2,1,2,0
264,F,A,I,2,3,3,2,2,1,2,1
265,E,K,C,1,3,1,2,2,1,2,1
266,C,S,O,1,3,1,1,2,1,2,0
267,D,K,C,2,3,1,2,2,2,2,1
268,C,S,O,1,2,1,2,2,1,2,0
269,C,R,O,1,2,1,2,2,1,1,0
270,B,X,O,1,3,1,1,2,1,1,0
271,H,R,X,1,3,1,1,2,1,2,0
272,E,A,I,1,3,1,1,2,1,2,0
273,B,X,O,1,2,1,1,2,1,1,0
274,H,S,X,2,3,1,2,2,1,2,0
275,E,A,I,2,2,3,2,2,1,2,0
276,E,K,I,1,2,1,2,2,1,2,1
277,H,S,X,1,3,1,1,2,1,2,0
278,D,K,C,2,3,3,2,2,2,2,1
279,C,S,I,1,2,1,2,2,1,1,0
280,B,X,O,1,3,1,1,2,1,1,0
281,E,A,I,1,3,1,2,2,1,2,0
282,B,X,O,1,3,1,1,2,1,1,0
283,H,K,X,1,2,1,2,2,1,2,0
284,F,K,I,1,3,3,2,2,2,2,0
285,E,A,I,2,2,3,2,2,1,2,1
286,H,H,X,1,3,1,1,2,1,2,0
287,D,K,C,2,2,1,2,2,2,2,1
288,C,A,O,1,3,1,2,2,1,2,0
289,E,K,I,1,3,1,1,2,1,2,0
290,H,S,X,1,2,1,2,2,1,2,0
291,F,S,O,1,2,1,2,2,1,2,0
292,E,A,I,2,2,1,2,2,1,2,1
293,H,S,X,1,2,1,1,2,1,2,0
294,D,K,C,2,2,3,2,2,2,2,1
295,H,S,X,1,1,1,2,2,1,2,0
296,E,S,I,1,3,1,1,2,1,2,0
297,H,S,X,1,2,1,2,2,1,2,0
298,F,S,O,1,2,1,2,2,1,2,0
299,E,S,O,2,2,3,2,2,1,2,1
300,H,S,X,1,2,1,1,2,1,2,0
301,D,K,C,2,2,1,2,2,2,2,1
302,H,S,X,1,2,1,2,2,1,2,0
303,C,S,O,1,2,1,2,2,1,2,0
304,B,X,O,1,3,1,1,2,1,1,0
305,B,X,O,1,3,1,1,2,1,1,0
306,H,S,X,1,3,1,1,1,1,2,0
307,H,S,X,1,2,1,2,2,1,2,0
308,E,A,O,2,3,1,2,2,1,2,0
309,H,S,X,1,3,1,1,2,1,2,0
310,D,K,C,2,2,3,2,2,2,2,1
311,H,S,X,1,3,1,2,2,1,2,0
312,C,A,O,1,2,1,2,2,1,2,0
313,D,A,O,1,3,1,1,2,1,2,0
314,D,S,O,1,3,1,1,2,1,2,0
315,C,S,O,1,1,3,2,2,1,2,0
316,H,S,X,1,2,1,1,2,1,2,0
317,D,K,C,2,3,3,2,2,2,2,0
318,C,R,O,1,2,1,2,2,1,2,0
319,D,R,O,1,3,1,1,2,1,2,0
320,E,A,O,1,3,1,1,2,1,2,0
321,C,R,O,1,3,1,1,2,1,1,0
322,E,K,C,1,3,1,1,2,2,2,1
323,H,A,X,1,3,1,1,1,1,1,0
324,D,R,O,1,3,1,1,2,1,1,0
325,C,S,O,1,3,1,1,2,1,1,0
326,H,R,X,1,2,1,1,1,1,1,0
327,H,S,X,1,1,1,1,2,1,1,0
328,C,A,O,1,2,1,1,2,1,1,0
329,B,X,O,1,3,1,1,2,1,1,0
330,C,A,O,1,3,1,1,2,1,1,0
331,C,A,O,1,2,1,1,2,1,1,1
332,B,X,O,1,3,1,1,2,1,1,0
333,C,A,O,1,2,1,1,2,1,1,0
334,B,X,O,1,3,1,1,2,1,1,0
335,B,X,I,1,2,1,1,2,1,1,0
336,C,S,O,2,2,1,1,2,1,1,0
337,B,X,O,1,3,1,1,2,1,1,0
338,B,X,O,1,2,1,1,2,1,1,0
339,D,R,I,1,3,1,1,2,1,1,1
340,H,S,X,1,3,1,1,2,1,1,0
341,B,X,O,1,2,1,1,2,1,1,0
342,B,X,O,1,2,1,2,2,1,1,0
343,H,S,X,1,2,1,1,2,1,1,0
344,B,X,O,1,3,1,1,2,1,1,0
345,B,X,O,2,2,1,2,2,1,1,0
346,C,R,O,1,3,1,1,2,1,1,1
347,B,X,O,1,2,1,2,2,1,1,0
348,B,X,O,1,3,1,1,2,1,1,0
349,D,A,I,2,3,1,1,2,1,1,1
350,B,X,O,1,3,1,1,2,1,1,0
351,D,R,O,1,3,1,1,2,1,1,0
352,B,X,O,1,3,1,1,2,1,1,0
353,B,X,O,1,1,1,2,2,1,1,0
354,B,X,O,1,1,1,1,2,1,1,0
355,C,R,I,2,1,1,2,2,1,1,0
356,B,X,O,1,3,1,1,2,1,1,0
357,D,R,I,1,3,1,2,2,1,1,0
358,B,X,O,1,2,1,1,2,1,1,0
359,C,R,O,1,3,1,1,2,1,1,0
360,E,A,C,1,3,1,1,2,1,1,1
361,H,A,X,1,2,1,1,1,1,1,1
362,B,X,O,1,2,1,2,2,1,1,1
363,B,X,O,1,3,1,1,2,1,1,0
364,B,X,O,1,2,1,1,2,1,1,0
365,D,K,I,2,3,1,2,2,1,1,1
366,E,A,I,2,2,1,1,2,1,1,1
367,D,A,I,1,3,1,2,2,1,1,0
368,B,X,O,1,3,1,1,2,1,1,0
369,H,R,X,1,2,1,1,2,1,1,0
370,C,R,O,1,2,1,1,2,1,1,0
371,D,A,O,2,3,3,2,2,1,1,1
372,E,S,O,2,3,1,2,2,1,1,1
373,C,R,O,1,3,1,1,2,1,1,0
374,E,S,I,2,3,1,2,2,1,1,0
375,C,R,O,1,3,1,1,2,1,1,0
376,D,A,I,2,3,1,2,2,1,1,0
377,E,A,I,2,3,1,2,2,1,1,1
378,H,S,X,1,3,1,1,1,1,1,0
379,D,A,O,1,3,1,1,2,1,1,1
380,D,R,O,1,3,1,1,2,1,1,1
381,D,S,O,1,3,1,2,2,1,1,0
382,B,X,O,1,2,1,1,2,1,1,0
383,D,A,I,2,2,1,2,2,1,1,0
384,E,A,I,2,3,3,2,2,1,1,1
385,H,S,X,1,1,1,1,1,1,1,0
386,D,S,I,2,3,1,1,2,1,1,0
387,D,S,O,2,3,2,1,2,1,1,1
388,D,R,O,1,3,1,1,2,1,1,0
389,D,S,O,1,3,1,2,2,1,1,0
390,D,S,O,1,3,1,1,2,1,1,0
391,D,S,O,1,2,1,2,2,1,1,0
392,E,K,C,2,3,3,2,2,2,1,1
393,H,R,X,1,3,1,1,1,1,1,0
394,D,A,O,1,2,1,2,2,1,1,1
395,C,S,I,1,3,1,1,2,1,1,1
396,C,S,O,1,2,1,1,2,1,1,0
397,B,X,O,1,3,1,1,2,1,1,1
398,B,X,O,1,3,1,1,2,1,1,0
399,D,S,O,1,2,1,2,2,1,1,1
400,D,A,I,1,3,1,1,2,1,1,0
401,D,S,O,1,2,1,2,2,1,1,0
402,F,K,C,2,3,1,2,2,2,1,0
403,D,A,I,1,3,1,2,2,1,1,0
404,C,R,O,1,2,1,1,2,1,1,0
405,C,R,O,1,3,1,1,2,1,1,0
406,B,X,O,1,3,1,1,2,1,1,1
407,D,S,O,1,2,1,2,2,1,1,0
408,H,A,X,1,2,1,2,2,1,1,0
409,D,A,O,1,3,1,2,2,1,1,0
410,F,K,C,2,2,1,2,2,1,1,1
411,D,S,I,2,2,1,2,2,1,1,0
412,B,X,O,1,2,1,1,2,1,1,0
413,C,R,O,1,3,1,1,2,1,1,0
414,B,X,O,1,3,1,1,2,1,1,1
415,B,X,O,1,3,1,1,2,1,1,0
416,D,S,O,1,2,1,1,2,1,1,1
417,H,R,X,1,2,1,2,2,1,1,0
418,H,A,X,1,2,1,2,2,1,1,0
419,C,S,O,1,2,1,2,2,1,1,0
420,F,A,I,1,2,1,2,2,2,1,1
421,D,S,O,1,2,1,2,2,1,1,1
422,C,R,O,1,2,1,1,2,1,1,0
423,D,A,C,2,3,1,1,2,1,1,1
424,B,X,O,1,1,1,1,2,1,1,0
425,E,A,I,2,3,1,1,2,1,1,1
426,H,A,X,1,2,1,2,2,1,1,0
427,C,S,O,1,3,1,2,2,1,1,1
428,F,A,C,2,3,1,2,2,2,1,1
429,D,S,O,1,2,1,2,2,1,1,0
430,D,A,I,2,3,1,2,2,1,1,1
431,B,X,O,1,3,1,1,2,1,1,0
432,E,A,I,2,3,1,2,2,1,1,0
433,D,S,O,2,3,1,2,2,1,1,0
434,F,A,I,2,2,1,2,2,1,1,1
435,H,S,X,1,1,1,2,2,1,1,1
436,D,A,I,2,2,1,2,2,1,1,0
437,B,X,O,1,2,1,1,2,1,1,0
438,E,S,I,2,2,1,2,2,1,1,0
439,H,S,X,1,2,1,1,1,1,1,0
440,F,A,C,2,2,1,2,2,1,1,1
441,H,S,X,1,2,1,2,2,1,1,0
442,E,A,O,1,2,1,2,2,1,1,1
443,E,A,I,1,2,1,2,2,1,1,1
444,B,X,O,1,3,1,1,2,1,1,0
445,C,S,O,1,3,1,1,2,1,1,1
446,H,S,X,1,2,1,2,2,1,1,0
447,F,A,I,2,2,1,2,2,1,1,0
448,E,A,O,1,2,1,2,2,1,1,0
449,E,S,I,1,2,1,2,2,1,1,0
450,E,A,O,1,3,1,1,2,1,1,1
451,H,S,X,1,2,1,1,1,1,1,0
452,E,S,O,1,1,1,2,2,1,1,0
453,E,S,I,2,3,1,2,2,1,1,0
454,C,S,O,2,2,1,1,2,1,1,1
455,E,S,O,1,2,1,1,2,1,1,0
456,E,A,I,1,2,1,2,2,1,1,0
457,H,S,X,1,2,1,1,2,1,1,1
458,E,A,O,1,3,1,1,2,1,1,0
459,H,H,X,1,2,1,1,1,1,1,0
460,B,X,O,1,3,1,1,2,1,1,0
461,C,R,O,1,3,1,1,2,1,1,0
462,E,S,I,1,2,1,2,2,1,1,0
463,C,S,O,2,3,1,1,2,1,1,0
464,E,S,O,1,3,1,1,2,1,1,0
465,H,H,X,1,3,1,1,1,1,1,0
466,B,X,O,1,3,1,1,2,1,1,0
467,H,S,X,1,2,1,1,1,1,1,1
468,B,X,O,1,3,1,1,2,1,1,0
469,C,R,O,1,2,1,1,2,1,1,1
470,D,R,O,1,2,1,1,2,1,1,0
471,E,S,O,1,2,1,2,2,1,1,0
472,C,S,O,2,2,1,1,2,1,1,0
473,E,S,O,1,3,1,1,2,1,1,0
474,C,H,O,1,3,1,1,2,1,1,0
475,B,X,O,1,1,1,1,2,1,1,0
476,H,S,X,1,2,1,1,1,1,1,0
477,B,X,O,1,3,1,1,2,1,1,0
478,E,R,C,2,3,1,1,2,1,1,0
479,D,R,I,1,3,1,1,2,1,1,0
480,H,S,X,1,1,1,2,2,1,1,0
481,C,S,O,1,2,1,1,2,1,1,0
482,E,S,O,1,2,1,1,2,1,1,1
483,C,K,O,1,2,1,1,2,1,1,1
484,H,S,X,2,2,1,1,1,1,1,0
485,B,X,O,1,2,1,1,2,1,1,0
486,E,K,C,1,3,1,2,2,1,1,1
487,E,A,I,1,3,1,2,2,1,1,0
488,C,R,O,1,3,1,1,2,1,1,0
489,H,R,X,1,1,1,2,2,1,1,0
490,H,S,X,1,2,1,1,2,1,1,0
491,E,S,O,1,2,1,1,2,1,1,0
492,C,S,O,1,3,1,1,2,1,1,0
493,H,S,X,1,2,1,1,1,1,1,0
494,E,K,C,1,3,1,2,2,2,1,1
495,E,R,O,1,3,1,2,2,2,1,0
496,H,S,X,1,3,1,1,1,1,1,0
497,H,S,X,1,1,1,1,2,1,1,0
498,D,S,O,2,2,1,1,2,1,1,0
499,C,S,O,2,1,1,1,2,1,1,0
500,H,S,X,1,1,1,1,1,1,1,0
501,B,X,O,1,3,1,1,2,1,1,0
502,E,A,C,2,1,3,2,2,1,1,1
503,E,A,O,1,1,1,2,2,1,1,1
504,H,R,X,1,3,1,1,2,1,1,0
505,H,S,X,1,2,1,1,1,1,1,0
506,H,S,X,1,2,1,1,1,1,1,0
507,H,S,X,1,3,1,1,2,1,1,0
508,H,S,X,1,3,1,1,2,1,1,1
509,H,H,X,1,3,1,1,2,1,1,0
510,H,S,X,1,3,1,1,1,1,1,0
511,F,K,C,2,3,3,2,2,2,1,1
512,E,A,O,2,2,1,2,2,1,1,1
513,D,S,O,1,3,1,1,2,1,1,1
514,H,S,X,1,3,1,1,1,1,1,0
515,C,S,O,1,3,1,1,2,1,1,0
516,H,S,X,1,2,1,1,2,1,1,0
517,H,S,X,1,2,1,1,2,1,1,0
518,C,H,O,1,3,1,1,2,1,1,1
519,B,X,O,1,1,1,1,2,1,1,0
520,F,K,C,2,3,1,2,2,2,1,0
521,E,A,O,2,2,1,2,2,1,1,0
522,D,S,I,1,3,1,1,2,1,1,0
523,H,S,X,1,3,1,1,1,1,1,0
524,C,R,I,1,3,1,1,2,1,1,0
525,D,A,O,1,3,1,1,2,1,1,1
526,H,S,X,1,2,1,1,2,1,1,0
527,C,S,O,2,3,1,1,2,1,1,1
528,C,S,O,1,2,1,1,2,1,1,0
529,F,K,I,2,2,1,2,2,2,1,1
530,E,R,O,2,2,1,2,2,1,1,0
531,C,R,I,1,3,1,1,2,1,1,0
532,D,R,O,1,3,1,1,2,1,1,0
533,D,A,I,1,3,1,1,2,1,1,1
534,D,S,O,1,3,1,1,2,1,1,1
535,C,S,O,1,3,1,1,2,1,1,0
536,H,S,X,1,1,1,1,2,1,1,0
537,H,S,X,2,2,1,1,2,1,1,0
538,F,A,I,1,2,1,2,2,1,1,1
539,C,R,I,1,3,1,1,2,1,1,1
540,D,S,O,1,3,1,1,2,1,1,0
541,C,S,I,2,2,1,2,2,1,1,0
542,D,A,O,2,3,1,1,2,1,1,0
543,C,S,O,1,2,1,1,2,1,1,1
544,H,S,X,1,2,1,1,2,1,1,0
545,H,S,X,1,3,1,1,2,1,1,0
546,F,A,I,2,2,1,2,2,1,1,1
547,D,R,I,2,2,1,1,2,1,1,0
548,D,A,I,1,3,1,1,2,1,1,0
549,D,A,O,2,2,3,2,2,1,1,0
550,D,A,O,1,2,1,1,2,1,1,0
551,D,R,O,1,3,1,1,2,1,1,1
552,H,S,X,1,2,1,1,2,1,1,0
553,H,S,X,1,2,1,1,2,1,1,0
554,F,K,I,2,3,1,2,2,2,1,1
555,D,A,I,1,2,1,2,2,1,1,0
556,D,A,I,1,3,1,2,2,1,1,0
557,B,X,I,1,2,1,2,2,1,1,1
558,D,A,O,1,3,1,1,2,1,1,0
559,D,A,O,2,3,1,1,2,1,1,0
560,C,R,O,1,3,1,1,2,1,1,0
561,B,X,O,1,3,1,1,2,1,1,1
562,B,X,O,1,2,1,1,2,1,1,0
563,H,S,X,1,3,1,1,2,1,1,0
564,H,S,X,1,2,1,1,2,1,1,0
565,F,K,I,2,2,3,2,2,1,1,0
566,D,R,C,1,3,1,2,2,1,1,1
567,D,A,I,1,2,1,2,2,1,1,0
568,H,S,X,1,1,1,2,2,1,1,0
569,D,A,O,1,2,1,1,2,1,1,0
570,D,A,O,2,3,1,1,2,1,1,0
571,D,R,O,1,2,1,1,2,1,1,0
572,B,X,O,1,2,1,1,2,1,1,0
573,C,R,O,1,2,1,1,2,1,1,0
574,B,X,I,1,3,1,1,2,1,1,0
575,H,R,X,1,2,1,1,1,1,1,0
